Date,Date_Key,Year,Quarter,Month_Number,Month_Name,Year_Month,Week_Number,Day,Day_Name,Is_Weekend
2015-03-28,20220730,2015,Q1,3,March,15-Mar,13,28,Saturday,TRUE
2015-03-29,20230620,2015,Q1,3,March,15-Mar,13,29,Sunday,TRUE
2015-03-30,20241119,2015,Q1,3,March,15-Mar,14,30,Monday,FALSE
2015-03-31,20181127,2015,Q1,3,March,15-Mar,14,31,Tuesday,FALSE
2015-04-01,20180518,2015,Q2,4,April,15-Apr,14,1,Wednesday,FALSE
2015-04-02,20240509,2015,Q2,4,April,15-Apr,14,2,Thursday,FALSE
2015-04-03,20211028,2015,Q2,4,April,15-Apr,14,3,Friday,FALSE
2015-04-04,20200408,2015,Q2,4,April,15-Apr,14,4,Saturday,TRUE
2015-04-05,20171203,2015,Q2,4,April,15-Apr,14,5,Sunday,TRUE
2015-04-06,20220414,2015,Q2,4,April,15-Apr,15,6,Monday,FALSE
2015-04-07,20211001,2015,Q2,4,April,15-Apr,15,7,Tuesday,FALSE
2015-04-08,20200306,2015,Q2,4,April,15-Apr,15,8,Wednesday,FALSE
2015-04-09,20211128,2015,Q2,4,April,15-Apr,15,9,Thursday,FALSE
2015-04-10,20170720,2015,Q2,4,April,15-Apr,15,10,Friday,FALSE
2015-04-11,20170723,2015,Q2,4,April,15-Apr,15,11,Saturday,TRUE
2015-04-12,20180925,2015,Q2,4,April,15-Apr,15,12,Sunday,TRUE
2015-04-13,20171013,2015,Q2,4,April,15-Apr,16,13,Monday,FALSE
2015-04-14,20240320,2015,Q2,4,April,15-Apr,16,14,Tuesday,FALSE
2015-04-15,20191025,2015,Q2,4,April,15-Apr,16,15,Wednesday,FALSE
2015-04-16,20230618,2015,Q2,4,April,15-Apr,16,16,Thursday,FALSE
2015-04-17,20201028,2015,Q2,4,April,15-Apr,16,17,Friday,FALSE
2015-04-18,20240330,2015,Q2,4,April,15-Apr,16,18,Saturday,TRUE
2015-04-19,20210509,2015,Q2,4,April,15-Apr,16,19,Sunday,TRUE
2015-04-20,20200316,2015,Q2,4,April,15-Apr,17,20,Monday,FALSE
2015-04-21,20170201,2015,Q2,4,April,15-Apr,17,21,Tuesday,FALSE
2015-04-22,20171020,2015,Q2,4,April,15-Apr,17,22,Wednesday,FALSE
2015-04-23,20150428,2015,Q2,4,April,15-Apr,17,23,Thursday,FALSE
2015-04-24,20180802,2015,Q2,4,April,15-Apr,17,24,Friday,FALSE
2015-04-25,20190604,2015,Q2,4,April,15-Apr,17,25,Saturday,TRUE
2015-04-26,20220119,2015,Q2,4,April,15-Apr,17,26,Sunday,TRUE
2015-04-27,20191122,2015,Q2,4,April,15-Apr,18,27,Monday,FALSE
2015-04-28,20160526,2015,Q2,4,April,15-Apr,18,28,Tuesday,FALSE
2015-04-29,20180619,2015,Q2,4,April,15-Apr,18,29,Wednesday,FALSE
2015-04-30,20160923,2015,Q2,4,April,15-Apr,18,30,Thursday,FALSE
2015-05-01,20210625,2015,Q2,5,May,15-May,18,1,Friday,FALSE
2015-05-02,20221216,2015,Q2,5,May,15-May,18,2,Saturday,TRUE
2015-05-03,20171015,2015,Q2,5,May,15-May,18,3,Sunday,TRUE
2015-05-04,20220421,2015,Q2,5,May,15-May,19,4,Monday,FALSE
2015-05-05,20231224,2015,Q2,5,May,15-May,19,5,Tuesday,FALSE
2015-05-06,20200811,2015,Q2,5,May,15-May,19,6,Wednesday,FALSE
2015-05-07,20150124,2015,Q2,5,May,15-May,19,7,Thursday,FALSE
2015-05-08,20210116,2015,Q2,5,May,15-May,19,8,Friday,FALSE
2015-05-09,20161106,2015,Q2,5,May,15-May,19,9,Saturday,TRUE
2015-05-10,20210502,2015,Q2,5,May,15-May,19,10,Sunday,TRUE
2015-05-11,20210326,2015,Q2,5,May,15-May,20,11,Monday,FALSE
2015-05-12,20240816,2015,Q2,5,May,15-May,20,12,Tuesday,FALSE
2015-05-13,20210218,2015,Q2,5,May,15-May,20,13,Wednesday,FALSE
2015-05-14,20230104,2015,Q2,5,May,15-May,20,14,Thursday,FALSE
2015-05-15,20221030,2015,Q2,5,May,15-May,20,15,Friday,FALSE
2015-05-16,20200309,2015,Q2,5,May,15-May,20,16,Saturday,TRUE
2015-05-17,20240131,2015,Q2,5,May,15-May,20,17,Sunday,TRUE
2015-05-18,20241003,2015,Q2,5,May,15-May,21,18,Monday,FALSE
2015-05-19,20210911,2015,Q2,5,May,15-May,21,19,Tuesday,FALSE
2015-05-20,20161012,2015,Q2,5,May,15-May,21,20,Wednesday,FALSE
2015-05-21,20180105,2015,Q2,5,May,15-May,21,21,Thursday,FALSE
2015-05-22,20151217,2015,Q2,5,May,15-May,21,22,Friday,FALSE
2015-05-23,20211002,2015,Q2,5,May,15-May,21,23,Saturday,TRUE
2015-05-24,20230319,2015,Q2,5,May,15-May,21,24,Sunday,TRUE
2015-05-25,20241115,2015,Q2,5,May,15-May,22,25,Monday,FALSE
2015-05-26,20150602,2015,Q2,5,May,15-May,22,26,Tuesday,FALSE
2015-05-27,20170608,2015,Q2,5,May,15-May,22,27,Wednesday,FALSE
2015-05-28,20170914,2015,Q2,5,May,15-May,22,28,Thursday,FALSE
2015-05-29,20231025,2015,Q2,5,May,15-May,22,29,Friday,FALSE
2015-05-30,20160826,2015,Q2,5,May,15-May,22,30,Saturday,TRUE
2015-05-31,20161102,2015,Q2,5,May,15-May,22,31,Sunday,TRUE
2015-06-01,20180314,2015,Q2,6,June,15-Jun,23,1,Monday,FALSE
2015-06-02,20201015,2015,Q2,6,June,15-Jun,23,2,Tuesday,FALSE
2015-06-03,20170711,2015,Q2,6,June,15-Jun,23,3,Wednesday,FALSE
2015-06-04,20151009,2015,Q2,6,June,15-Jun,23,4,Thursday,FALSE
2015-06-05,20170122,2015,Q2,6,June,15-Jun,23,5,Friday,FALSE
2015-06-06,20180925,2015,Q2,6,June,15-Jun,23,6,Saturday,TRUE
2015-06-07,20200630,2015,Q2,6,June,15-Jun,23,7,Sunday,TRUE
2015-06-08,20190702,2015,Q2,6,June,15-Jun,24,8,Monday,FALSE
2015-06-09,20211006,2015,Q2,6,June,15-Jun,24,9,Tuesday,FALSE
2015-06-10,20171010,2015,Q2,6,June,15-Jun,24,10,Wednesday,FALSE
2015-06-11,20240107,2015,Q2,6,June,15-Jun,24,11,Thursday,FALSE
2015-06-12,20210922,2015,Q2,6,June,15-Jun,24,12,Friday,FALSE
2015-06-13,20200225,2015,Q2,6,June,15-Jun,24,13,Saturday,TRUE
2015-06-14,20160122,2015,Q2,6,June,15-Jun,24,14,Sunday,TRUE
2015-06-15,20190717,2015,Q2,6,June,15-Jun,25,15,Monday,FALSE
2015-06-16,20240608,2015,Q2,6,June,15-Jun,25,16,Tuesday,FALSE
2015-06-17,20150617,2015,Q2,6,June,15-Jun,25,17,Wednesday,FALSE
2015-06-18,20190310,2015,Q2,6,June,15-Jun,25,18,Thursday,FALSE
2015-06-19,20230820,2015,Q2,6,June,15-Jun,25,19,Friday,FALSE
2015-06-20,20231126,2015,Q2,6,June,15-Jun,25,20,Saturday,TRUE
2015-06-21,20200515,2015,Q2,6,June,15-Jun,25,21,Sunday,TRUE
2015-06-22,20230214,2015,Q2,6,June,15-Jun,26,22,Monday,FALSE
2015-06-23,20201202,2015,Q2,6,June,15-Jun,26,23,Tuesday,FALSE
2015-06-24,20190310,2015,Q2,6,June,15-Jun,26,24,Wednesday,FALSE
2015-06-25,20150911,2015,Q2,6,June,15-Jun,26,25,Thursday,FALSE
2015-06-26,20171223,2015,Q2,6,June,15-Jun,26,26,Friday,FALSE
2015-06-27,20201016,2015,Q2,6,June,15-Jun,26,27,Saturday,TRUE
2015-06-28,20210416,2015,Q2,6,June,15-Jun,26,28,Sunday,TRUE
2015-06-29,20200226,2015,Q2,6,June,15-Jun,27,29,Monday,FALSE
2015-06-30,20180228,2015,Q2,6,June,15-Jun,27,30,Tuesday,FALSE
2015-07-01,20240613,2015,Q3,7,July,15-Jul,27,1,Wednesday,FALSE
2015-07-02,20200123,2015,Q3,7,July,15-Jul,27,2,Thursday,FALSE
2015-07-03,20240328,2015,Q3,7,July,15-Jul,27,3,Friday,FALSE
2015-07-04,20170219,2015,Q3,7,July,15-Jul,27,4,Saturday,TRUE
2015-07-05,20170520,2015,Q3,7,July,15-Jul,27,5,Sunday,TRUE
2015-07-06,20200524,2015,Q3,7,July,15-Jul,28,6,Monday,FALSE
2015-07-07,20180106,2015,Q3,7,July,15-Jul,28,7,Tuesday,FALSE
2015-07-08,20201124,2015,Q3,7,July,15-Jul,28,8,Wednesday,FALSE
2015-07-09,20170217,2015,Q3,7,July,15-Jul,28,9,Thursday,FALSE
2015-07-10,20160301,2015,Q3,7,July,15-Jul,28,10,Friday,FALSE
2015-07-11,20180703,2015,Q3,7,July,15-Jul,28,11,Saturday,TRUE
2015-07-12,20181213,2015,Q3,7,July,15-Jul,28,12,Sunday,TRUE
2015-07-13,20191204,2015,Q3,7,July,15-Jul,29,13,Monday,FALSE
2015-07-14,20160426,2015,Q3,7,July,15-Jul,29,14,Tuesday,FALSE
2015-07-15,20230528,2015,Q3,7,July,15-Jul,29,15,Wednesday,FALSE
2015-07-16,20211027,2015,Q3,7,July,15-Jul,29,16,Thursday,FALSE
2015-07-17,20240723,2015,Q3,7,July,15-Jul,29,17,Friday,FALSE
2015-07-18,20161122,2015,Q3,7,July,15-Jul,29,18,Saturday,TRUE
2015-07-19,20181123,2015,Q3,7,July,15-Jul,29,19,Sunday,TRUE
2015-07-20,20190329,2015,Q3,7,July,15-Jul,30,20,Monday,FALSE
2015-07-21,20170610,2015,Q3,7,July,15-Jul,30,21,Tuesday,FALSE
2015-07-22,20170816,2015,Q3,7,July,15-Jul,30,22,Wednesday,FALSE
2015-07-23,20210920,2015,Q3,7,July,15-Jul,30,23,Thursday,FALSE
2015-07-24,20161010,2015,Q3,7,July,15-Jul,30,24,Friday,FALSE
2015-07-25,20150310,2015,Q3,7,July,15-Jul,30,25,Saturday,TRUE
2015-07-26,20180417,2015,Q3,7,July,15-Jul,30,26,Sunday,TRUE
2015-07-27,20180504,2015,Q3,7,July,15-Jul,31,27,Monday,FALSE
2015-07-28,20230713,2015,Q3,7,July,15-Jul,31,28,Tuesday,FALSE
2015-07-29,20200317,2015,Q3,7,July,15-Jul,31,29,Wednesday,FALSE
2015-07-30,20181228,2015,Q3,7,July,15-Jul,31,30,Thursday,FALSE
2015-07-31,20240731,2015,Q3,7,July,15-Jul,31,31,Friday,FALSE
2015-08-01,20180715,2015,Q3,8,August,15-Aug,31,1,Saturday,TRUE
2015-08-02,20180911,2015,Q3,8,August,15-Aug,31,2,Sunday,TRUE
2015-08-03,20230409,2015,Q3,8,August,15-Aug,32,3,Monday,FALSE
2015-08-04,20210429,2015,Q3,8,August,15-Aug,32,4,Tuesday,FALSE
2015-08-05,20160722,2015,Q3,8,August,15-Aug,32,5,Wednesday,FALSE
2015-08-06,20210401,2015,Q3,8,August,15-Aug,32,6,Thursday,FALSE
2015-08-07,20200925,2015,Q3,8,August,15-Aug,32,7,Friday,FALSE
2015-08-08,20200108,2015,Q3,8,August,15-Aug,32,8,Saturday,TRUE
2015-08-09,20170324,2015,Q3,8,August,15-Aug,32,9,Sunday,TRUE
2015-08-10,20211026,2015,Q3,8,August,15-Aug,33,10,Monday,FALSE
2015-08-11,20190803,2015,Q3,8,August,15-Aug,33,11,Tuesday,FALSE
2015-08-12,20160608,2015,Q3,8,August,15-Aug,33,12,Wednesday,FALSE
2015-08-13,20230527,2015,Q3,8,August,15-Aug,33,13,Thursday,FALSE
2015-08-14,20240427,2015,Q3,8,August,15-Aug,33,14,Friday,FALSE
2015-08-15,20231218,2015,Q3,8,August,15-Aug,33,15,Saturday,TRUE
2015-08-16,20160727,2015,Q3,8,August,15-Aug,33,16,Sunday,TRUE
2015-08-17,20190306,2015,Q3,8,August,15-Aug,34,17,Monday,FALSE
2015-08-18,20170318,2015,Q3,8,August,15-Aug,34,18,Tuesday,FALSE
2015-08-19,20150908,2015,Q3,8,August,15-Aug,34,19,Wednesday,FALSE
2015-08-20,20150205,2015,Q3,8,August,15-Aug,34,20,Thursday,FALSE
2015-08-21,20160819,2015,Q3,8,August,15-Aug,34,21,Friday,FALSE
2015-08-22,20211230,2015,Q3,8,August,15-Aug,34,22,Saturday,TRUE
2015-08-23,20190606,2015,Q3,8,August,15-Aug,34,23,Sunday,TRUE
2015-08-24,20190212,2015,Q3,8,August,15-Aug,35,24,Monday,FALSE
2015-08-25,20240917,2015,Q3,8,August,15-Aug,35,25,Tuesday,FALSE
2015-08-26,20211005,2015,Q3,8,August,15-Aug,35,26,Wednesday,FALSE
2015-08-27,20150726,2015,Q3,8,August,15-Aug,35,27,Thursday,FALSE
2015-08-28,20150706,2015,Q3,8,August,15-Aug,35,28,Friday,FALSE
2015-08-29,20160214,2015,Q3,8,August,15-Aug,35,29,Saturday,TRUE
2015-08-30,20200719,2015,Q3,8,August,15-Aug,35,30,Sunday,TRUE
2015-08-31,20160527,2015,Q3,8,August,15-Aug,36,31,Monday,FALSE
2015-09-01,20180615,2015,Q3,9,September,15-Sep,36,1,Tuesday,FALSE
2015-09-02,20160115,2015,Q3,9,September,15-Sep,36,2,Wednesday,FALSE
2015-09-03,20160608,2015,Q3,9,September,15-Sep,36,3,Thursday,FALSE
2015-09-04,20210613,2015,Q3,9,September,15-Sep,36,4,Friday,FALSE
2015-09-05,20230612,2015,Q3,9,September,15-Sep,36,5,Saturday,TRUE
2015-09-06,20221210,2015,Q3,9,September,15-Sep,36,6,Sunday,TRUE
2015-09-07,20230806,2015,Q3,9,September,15-Sep,37,7,Monday,FALSE
2015-09-08,20191217,2015,Q3,9,September,15-Sep,37,8,Tuesday,FALSE
2015-09-09,20150220,2015,Q3,9,September,15-Sep,37,9,Wednesday,FALSE
2015-09-10,20181012,2015,Q3,9,September,15-Sep,37,10,Thursday,FALSE
2015-09-11,20170731,2015,Q3,9,September,15-Sep,37,11,Friday,FALSE
2015-09-12,20200619,2015,Q3,9,September,15-Sep,37,12,Saturday,TRUE
2015-09-13,20160430,2015,Q3,9,September,15-Sep,37,13,Sunday,TRUE
2015-09-14,20160912,2015,Q3,9,September,15-Sep,38,14,Monday,FALSE
2015-09-15,20170830,2015,Q3,9,September,15-Sep,38,15,Tuesday,FALSE
2015-09-16,20180914,2015,Q3,9,September,15-Sep,38,16,Wednesday,FALSE
2015-09-17,20160325,2015,Q3,9,September,15-Sep,38,17,Thursday,FALSE
2015-09-18,20150618,2015,Q3,9,September,15-Sep,38,18,Friday,FALSE
2015-09-19,20151223,2015,Q3,9,September,15-Sep,38,19,Saturday,TRUE
2015-09-20,20200111,2015,Q3,9,September,15-Sep,38,20,Sunday,TRUE
2015-09-21,20230102,2015,Q3,9,September,15-Sep,39,21,Monday,FALSE
2015-09-22,20180502,2015,Q3,9,September,15-Sep,39,22,Tuesday,FALSE
2015-09-23,20210531,2015,Q3,9,September,15-Sep,39,23,Wednesday,FALSE
2015-09-24,20201203,2015,Q3,9,September,15-Sep,39,24,Thursday,FALSE
2015-09-25,20150528,2015,Q3,9,September,15-Sep,39,25,Friday,FALSE
2015-09-26,20241112,2015,Q3,9,September,15-Sep,39,26,Saturday,TRUE
2015-09-27,20191105,2015,Q3,9,September,15-Sep,39,27,Sunday,TRUE
2015-09-28,20201110,2015,Q3,9,September,15-Sep,40,28,Monday,FALSE
2015-09-29,20170131,2015,Q3,9,September,15-Sep,40,29,Tuesday,FALSE
2015-09-30,20230312,2015,Q3,9,September,15-Sep,40,30,Wednesday,FALSE
2015-10-01,20171222,2015,Q4,10,October,15-Oct,40,1,Thursday,FALSE
2015-10-02,20210711,2015,Q4,10,October,15-Oct,40,2,Friday,FALSE
2015-10-03,20220803,2015,Q4,10,October,15-Oct,40,3,Saturday,TRUE
2015-10-04,20170104,2015,Q4,10,October,15-Oct,40,4,Sunday,TRUE
2015-10-05,20191124,2015,Q4,10,October,15-Oct,41,5,Monday,FALSE
2015-10-06,20160403,2015,Q4,10,October,15-Oct,41,6,Tuesday,FALSE
2015-10-07,20241211,2015,Q4,10,October,15-Oct,41,7,Wednesday,FALSE
2015-10-08,20150604,2015,Q4,10,October,15-Oct,41,8,Thursday,FALSE
2015-10-09,20220602,2015,Q4,10,October,15-Oct,41,9,Friday,FALSE
2015-10-10,20240813,2015,Q4,10,October,15-Oct,41,10,Saturday,TRUE
2015-10-11,20221221,2015,Q4,10,October,15-Oct,41,11,Sunday,TRUE
2015-10-12,20150813,2015,Q4,10,October,15-Oct,42,12,Monday,FALSE
2015-10-13,20151231,2015,Q4,10,October,15-Oct,42,13,Tuesday,FALSE
2015-10-14,20230409,2015,Q4,10,October,15-Oct,42,14,Wednesday,FALSE
2015-10-15,20240614,2015,Q4,10,October,15-Oct,42,15,Thursday,FALSE
2015-10-16,20170801,2015,Q4,10,October,15-Oct,42,16,Friday,FALSE
2015-10-17,20191030,2015,Q4,10,October,15-Oct,42,17,Saturday,TRUE
2015-10-18,20180103,2015,Q4,10,October,15-Oct,42,18,Sunday,TRUE
2015-10-19,20230720,2015,Q4,10,October,15-Oct,43,19,Monday,FALSE
2015-10-20,20190209,2015,Q4,10,October,15-Oct,43,20,Tuesday,FALSE
2015-10-21,20150303,2015,Q4,10,October,15-Oct,43,21,Wednesday,FALSE
2015-10-22,20241114,2015,Q4,10,October,15-Oct,43,22,Thursday,FALSE
2015-10-23,20221214,2015,Q4,10,October,15-Oct,43,23,Friday,FALSE
2015-10-24,20200506,2015,Q4,10,October,15-Oct,43,24,Saturday,TRUE
2015-10-25,20150129,2015,Q4,10,October,15-Oct,43,25,Sunday,TRUE
2015-10-26,20200910,2015,Q4,10,October,15-Oct,44,26,Monday,FALSE
2015-10-27,20170205,2015,Q4,10,October,15-Oct,44,27,Tuesday,FALSE
2015-10-28,20211122,2015,Q4,10,October,15-Oct,44,28,Wednesday,FALSE
2015-10-29,20240628,2015,Q4,10,October,15-Oct,44,29,Thursday,FALSE
2015-10-30,20150927,2015,Q4,10,October,15-Oct,44,30,Friday,FALSE
2015-10-31,20200831,2015,Q4,10,October,15-Oct,44,31,Saturday,TRUE
2015-11-01,20210309,2015,Q4,11,November,15-Nov,44,1,Sunday,TRUE
2015-11-02,20240425,2015,Q4,11,November,15-Nov,45,2,Monday,FALSE
2015-11-03,20160410,2015,Q4,11,November,15-Nov,45,3,Tuesday,FALSE
2015-11-04,20160519,2015,Q4,11,November,15-Nov,45,4,Wednesday,FALSE
2015-11-05,20241219,2015,Q4,11,November,15-Nov,45,5,Thursday,FALSE
2015-11-06,20160911,2015,Q4,11,November,15-Nov,45,6,Friday,FALSE
2015-11-07,20170219,2015,Q4,11,November,15-Nov,45,7,Saturday,TRUE
2015-11-08,20220114,2015,Q4,11,November,15-Nov,45,8,Sunday,TRUE
2015-11-09,20160526,2015,Q4,11,November,15-Nov,46,9,Monday,FALSE
2015-11-10,20151120,2015,Q4,11,November,15-Nov,46,10,Tuesday,FALSE
2015-11-11,20160325,2015,Q4,11,November,15-Nov,46,11,Wednesday,FALSE
2015-11-12,20200222,2015,Q4,11,November,15-Nov,46,12,Thursday,FALSE
2015-11-13,20220531,2015,Q4,11,November,15-Nov,46,13,Friday,FALSE
2015-11-14,20170929,2015,Q4,11,November,15-Nov,46,14,Saturday,TRUE
2015-11-15,20230527,2015,Q4,11,November,15-Nov,46,15,Sunday,TRUE
2015-11-16,20150615,2015,Q4,11,November,15-Nov,47,16,Monday,FALSE
2015-11-17,20240412,2015,Q4,11,November,15-Nov,47,17,Tuesday,FALSE
2015-11-18,20231008,2015,Q4,11,November,15-Nov,47,18,Wednesday,FALSE
2015-11-19,20210622,2015,Q4,11,November,15-Nov,47,19,Thursday,FALSE
2015-11-20,20230211,2015,Q4,11,November,15-Nov,47,20,Friday,FALSE
2015-11-21,20211221,2015,Q4,11,November,15-Nov,47,21,Saturday,TRUE
2015-11-22,20151125,2015,Q4,11,November,15-Nov,47,22,Sunday,TRUE
2015-11-23,20160518,2015,Q4,11,November,15-Nov,48,23,Monday,FALSE
2015-11-24,20170907,2015,Q4,11,November,15-Nov,48,24,Tuesday,FALSE
2015-11-25,20150105,2015,Q4,11,November,15-Nov,48,25,Wednesday,FALSE
2015-11-26,20201204,2015,Q4,11,November,15-Nov,48,26,Thursday,FALSE
2015-11-27,20210330,2015,Q4,11,November,15-Nov,48,27,Friday,FALSE
2015-11-28,20220409,2015,Q4,11,November,15-Nov,48,28,Saturday,TRUE
